configuration,mesh_set,arm_part,link,env_part,env_role,tier,aabb_gap_mm,mesh_gap_mm,effective_gap_mm,classification,counts_as_real,q_deg
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_link1_LINKLOCAL,link1,Front_End_Frame,BUS_STRUCTURE,AABB_CLEAR,99.05,,99.05,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_link1_LINKLOCAL,link1,Front_Transverse_Frame,BUS_STRUCTURE,AABB_CLEAR,157.05,,157.05,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_link1_LINKLOCAL,link1,Fwd_Saddle,SADDLE_PLACEHOLDER,AABB_CLEAR,106.8835,,106.8835,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_link1_LINKLOCAL,link1,HDRM_Base_1_Left,BUS_STRUCTURE,AABB_CLEAR,432.2893,,432.2893,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_link1_LINKLOCAL,link1,HDRM_Base_1_Right,BUS_STRUCTURE,AABB_CLEAR,432.541,,432.541,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_link1_LINKLOCAL,link1,HDRM_Base_2_Left,BUS_STRUCTURE,AABB_CLEAR,234.2094,,234.2094,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_link1_LINKLOCAL,link1,HDRM_Base_2_Right,BUS_STRUCTURE,AABB_CLEAR,234.6736,,234.6736,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_link1_LINKLOCAL,link1,HDRM_Rod_1_Left,BUS_STRUCTURE,AABB_CLEAR,440.4221,,440.4221,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_link1_LINKLOCAL,link1,HDRM_Rod_1_Right,BUS_STRUCTURE,AABB_CLEAR,440.719,,440.719,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_link1_LINKLOCAL,link1,HDRM_Rod_2_Left,BUS_STRUCTURE,AABB_CLEAR,243.2111,,243.2111,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_link1_LINKLOCAL,link1,HDRM_Rod_2_Right,BUS_STRUCTURE,AABB_CLEAR,243.7483,,243.7483,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_link1_LINKLOCAL,link1,Hard_Stop_Left,BUS_STRUCTURE,AABB_CLEAR,343.1802,,343.1802,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_link1_LINKLOCAL,link1,Hard_Stop_Right,BUS_STRUCTURE,AABB_CLEAR,343.5611,,343.5611,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_link1_LINKLOCAL,link1,Harness_Passage,ARM_MOUNT_INTERFACE,AABB_CLEAR,111.05,,111.05,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_link1_LINKLOCAL,link1,Harness_Service_Loop_Left,BUS_STRUCTURE,AABB_CLEAR,374.0106,,374.0106,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_link1_LINKLOCAL,link1,Harness_Service_Loop_Right,BUS_STRUCTURE,AABB_CLEAR,374.3014,,374.3014,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_link1_LINKLOCAL,link1,Hinge_Ear_1_Left,BUS_STRUCTURE,AABB_CLEAR,350.1176,,350.1176,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_link1_LINKLOCAL,link1,Hinge_Ear_1_Right,BUS_STRUCTURE,AABB_CLEAR,350.491,,350.491,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_link1_LINKLOCAL,link1,Hinge_Ear_2_Left,BUS_STRUCTURE,AABB_CLEAR,332.2839,,332.2839,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_link1_LINKLOCAL,link1,Hinge_Ear_2_Right,BUS_STRUCTURE,AABB_CLEAR,332.6772,,332.6772,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_link1_LINKLOCAL,link1,Hinge_Pin_Left,BUS_STRUCTURE,AABB_CLEAR,328.3957,,328.3957,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_link1_LINKLOCAL,link1,Hinge_Pin_Right,BUS_STRUCTURE,AABB_CLEAR,328.944,,328.944,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_link1_LINKLOCAL,link1,Launch_Lock_Interface_Reference,REFERENCE_ONLY,AABB_CLEAR,276.7209,,276.7209,EXCLUDED_REFERENCE_ONLY_BODY,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_link1_LINKLOCAL,link1,Load_Bridge_Left,ARM_MOUNT_INTERFACE,AABB_CLEAR,111.05,,111.05,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_link1_LINKLOCAL,link1,Load_Bridge_Right,ARM_MOUNT_INTERFACE,AABB_CLEAR,111.05,,111.05,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_link1_LINKLOCAL,link1,Load_Spreading_Frame,ARM_MOUNT_INTERFACE,AABB_CLEAR,107.05,,107.05,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_link1_LINKLOCAL,link1,Longerons_4X,BUS_STRUCTURE,AABB_CLEAR,99.05,,99.05,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_link1_LINKLOCAL,link1,Maintenance_Access_Cover,BUS_STRUCTURE,AABB_CLEAR,119.2438,,119.2438,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_link1_LINKLOCAL,link1,Mid_Saddle,SADDLE_PLACEHOLDER,AABB_CLEAR,184.8028,,184.8028,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_link1_LINKLOCAL,link1,Mid_Transverse_Frame_,BUS_STRUCTURE,AABB_CLEAR,218.05,,218.05,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_link1_LINKLOCAL,link1,Rear_End_Frame,BUS_STRUCTURE,AABB_CLEAR,457.05,,457.05,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_link1_LINKLOCAL,link1,Release_Clearance_Envelope,REFERENCE_ONLY,AABB_CLEAR,279.9064,,279.9064,EXCLUDED_REFERENCE_ONLY_BODY,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_link1_LINKLOCAL,link1,Root_Base_Left,BUS_STRUCTURE,AABB_CLEAR,327.2923,,327.2923,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_link1_LINKLOCAL,link1,Root_Base_Right,BUS_STRUCTURE,AABB_CLEAR,327.6246,,327.6246,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
