sample_index,t_s,base_x_m,base_y_m,base_z_m,base_q_w,base_q_x,base_q_y,base_q_z,base_euler_x_deg,base_euler_y_deg,base_euler_z_deg,base_attitude_deviation_deg,base_vx_m_s,base_vy_m_s,base_vz_m_s,base_wx_rad_s,base_wy_rad_s,base_wz_rad_s,momentum_residual_norm_S,authority_class,attached_target_propagated,released_for_mission_gate
600,6.0,-0.017448512049713566,-0.028196496007319483,0.006053819809425712,0.8059063946874833,0.5677889163811932,-0.12061990071081828,0.11653955975978829,69.81363696709741,-19.07202234287017,3.0852055563723457,72.604236504723,-0.0055843115052348,0.002778477218771345,0.006420156434452892,0.3894491904987632,0.03616627229829583,0.13693484611842127,1.3726256421208136e-16,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
601,6.01,-0.017514216530786785,-0.02825068914269186,0.006081122893858017,0.8047418243393385,0.5692524163445662,-0.12063384697155669,0.11742979864459048,70.02052159006786,-19.13848861586474,3.1345783586965896,72.82934150211321,-0.005582793262776762,0.002810429330103855,0.0063874442433171485,0.38912208591315894,0.03711475293073041,0.1368869924951649,1.467559656580198e-16,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
602,6.0200000000000005,-0.017579905738534376,-0.028304697463580445,0.006108355871107671,0.8035753471409124,0.5707116185185561,-0.12064350651163615,0.11832182508679052,70.22706536964871,-19.20491008253167,3.1842471583633594,73.05421574347308,-0.005581164724401597,0.0028420125425580147,0.006354518140628747,0.388787551310561,0.03806302804028654,0.13683111529153363,1.2412670766236366e-16,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
603,6.03,-0.01764557815340477,-0.028358520890892,0.0061355177218301036,0.8024070006632127,0.5721664924313508,-0.1206488690321396,0.11921560563423711,70.43326349457782,-19.27128492865306,3.23421186437717,73.2788547076698,-0.005579426154670758,0.0028732250921125694,0.006321382610409407,0.38844560319988586,0.039011007035096905,0.13676721141376008,2.2777124023223643e-16,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
604,6.04,-0.017711232257862492,-0.028412159354018963,0.006162607434989023,0.8012368226442582,0.5736170079354505,-0.1206499245764141,0.12011110667136739,70.63911117123959,-19.337611335209317,3.284472370124225,73.50325388415125,-0.00557757782430462,0.0029040652810170898,0.006288042149715272,0.38809625855370655,0.03995859923195289,0.1366952788070903,1.2326305895073522e-16,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
605,6.05,-0.01777686653649999,-0.028465612790767453,0.006189624007950312,0.8000648509852245,0.5750631352100535,-0.12064666353163611,0.12100829442256668,70.84460362407957,-19.40388747844466,3.335028553239331,73.72740877323315,-0.005575620010097933,0.0029345314778622287,0.006254501267629172,0.38773953480790563,0.040905713869726426,0.13661531645748193,1.7657576345667174e-16,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
606,6.0600000000000005,-0.01784247947614899,-0.02851888114728504,0.006216566446574844,0.798891123746558,0.5765048447633996,-0.12063907663033341,0.12190713495555053,71.04973609601922,-19.470111529934638,3.3858802754724078,73.95131488638687,-0.0055735529948348645,0.002964622117632581,0.006220764484253273,0.3873754498612599,0.041852260122823365,0.13652732439314347,1.5431240456627365e-16,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
607,6.07,-0.017908069565991377,-0.028571964377988205,0.006243433765310154,0.7977156791440645,0.5779421074350718,-0.12062715495186423,0.12280759418476815,71.25450384887125,-19.536281656655685,3.4370273825544797,74.1749677465267,-0.0055713770672036495,0.0029943357017411395,0.006186836329702714,0.3870040220749605,0.042798147114656016,0.13643130368591902,7.67210752826985e-17,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
608,6.08,-0.017973635297669602,-0.02862486244548959,0.006270224987280987,0.7965385555449677,0.5793748943982573,-0.12061088992385266,0.12370963787482758,71.45890216375523,-19.602396021056492,3.488469704063158,74.3983628882976,-0.005569092521710993,0.0030236707980463916,0.0061527213431005565,0.38662527027206595,0.04374328393114098,0.13632725645251362,2.5078606370050884e-16,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
609,6.09,-0.018039175165396534,-0.028677575320524982,0.006296939144378648,0.7953597914639428,0.5808031771619634,-0.12059027332358078,0.12461323164394103,71.66292634151327,-19.668452781131734,3.5402070532877703,74.62149585836242,-0.0055666996585961555,0.0030526260408512067,0.006118424071574311,0.3862392137368887,0.044687579634217,0.13621518585556505,1.09768388958628e-16,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
610,6.1000000000000005,-0.018104687666064826,-0.028730102981880088,0.006323575277349189,0.7941794255591236,0.5822269275731922,-0.1205652972793369,0.12551834096739106,71.86657170312593,-19.734450090497603,3.592239227094121,74.84436221568924,-0.005564198783744788,0.003081200130884423,0.006083949069254341,0.38584587221431205,0.045630943275383216,0.13609509610455073,1.533244350508969e-16,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
611,6.11,-0.0181701712993557,-0.028782445416317064,0.006350132435880362,0.7929974966280848,0.58364611781907,-0.12053595427172005,0.1264249311810163,72.06983359012818,-19.80038609846963,3.644566005788747,75.06695753183838,-0.005561590208602588,0.003109391835264339,0.006049300896274749,0.38544526590904116,0.04657328390925358,0.13596699245654653,7.069929319867702e-17,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
612,6.12,-0.01823562456784726,-0.028834602618500894,0.006376609678687366,0.7918140436037975,0.5850607204289344,-0.12050223713490013,0.1273329674847173,72.27270736502554,-19.866258950142747,3.697187152983047,75.28927739124963,-0.005558874250088731,0.003137199987445008,0.006014484117776511,0.3850374154847817,0.04751451060713397,0.13583088121681458,1.1424178149329442e-16,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
