lane_id,sample_index,t_s,base_x_m,base_y_m,base_z_m,quat_w,quat_x,quat_y,quat_z,base_wx_rad_s,base_wy_rad_s,base_wz_rad_s,base_dev_deg,energy_J,joint_work_J,momentum_dP_norm,momentum_dL_norm,joint1_q_rad,joint2_q_rad,joint3_q_rad,joint4_q_rad,joint5_q_rad,joint6_q_rad
ODR01_DYNAMICS_T_SM,132,1.320000000000e+00,4.7478796689596982e-04,-6.4207596869175616e-05,-2.6730358910117939e-04,9.9906184050198943e-01,7.5914485226308472e-03,-4.1156573307051740e-02,1.1133069465648765e-02,3.9212955776284079e-02,-1.4258264471130630e-01,7.0582526337875387e-02,4.9640931776439086e+00,1.7508531968088208e-02,1.7508531967331542e-02,1.0055412576335686e-16,5.0523355912860872e-17,-2.4250056129144568e-01,-1.2097042021740607e+00,-1.3446768229401971e+00,-1.0316737484314138e+00,-8.0826315772459009e-02,1.5555999412199821e-05
ODR01_DYNAMICS_T_SM,133,1.330000000000e+00,4.9530051863760308e-04,-6.2218654768780867e-05,-2.7301235773593050e-04,9.9902660800817955e-01,7.7826173382318283e-03,-4.1871119205355960e-02,1.1492464293130486e-02,4.0026856308467564e-02,-1.4330260014299848e-01,7.2222759952153895e-02,5.0564619661154087e+00,1.7899519720174853e-02,1.7899519720655673e-02,6.3216332024276089e-17,4.1379609606444779e-17,-2.4702008425224664e-01,-1.2127143611021614e+00,-1.3436646517533883e+00,-1.0281634802649999e+00,-8.2332849074062048e-02,1.5503070150777376e-05
ODR01_DYNAMICS_T_SM,134,1.340000000000e+00,5.1642855068686979e-04,-6.0099342122267075e-05,-2.7880348387549652e-04,9.9899041810149392e-01,7.9775743589401982e-03,-4.2589174406263960e-02,1.1860230695176770e-02,4.0853837991595650e-02,-1.4399230234310958e-01,7.3879696210404217e-02,5.1496172185950524e+00,1.8295354327566210e-02,1.8295354327598011e-02,5.5943151141397620e-17,4.9096045625102536e-17,-2.5157922844484992e-01,-1.2157509091438223e+00,-1.3426436071811441e+00,-1.0246224386851273e+00,-8.3852589677780448e-02,1.5449676875220228e-05
ODR01_DYNAMICS_T_SM,135,1.350000000000e+00,5.3818226633533812e-04,-5.7847196017027788e-05,-2.8467786047221762e-04,9.9895325677824698e-01,8.1763747142045706e-03,-4.3310585317590237e-02,1.2236456517903439e-02,4.1693944609075086e-02,-1.4465123226122467e-01,7.5552871539274757e-02,5.2435521868918284e+00,1.8696017177750809e-02,1.8696017177585421e-02,1.3964254612015911e-16,4.4843524569760389e-17,-2.5617773331252974e-01,-1.2188136727592340e+00,-1.3416137475765277e+00,-1.0210508260635918e+00,-8.5385450729893675e-02,1.5395822636973221e-05
ODR01_DYNAMICS_T_SM,136,1.360000000000e+00,5.6057183070745253e-04,-5.5459782348476000e-05,-2.9063639926735538e-04,9.9891511014852774e-01,8.3790735527128103e-03,-4.4035195721630165e-02,1.2621227401120358e-02,4.2547211127027619e-02,-1.4527888099416728e-01,7.7241804543670897e-02,5.3382599782010614e+00,1.9101486786299963e-02,1.9101486786785565e-02,3.5381555418772973e-17,1.9930455364337951e-17,-2.6081533272122059e-01,-1.2219024746938856e+00,-1.3405751325416775e+00,-1.0174488491040541e+00,-8.6931343517536272e-02,1.5341510552798817e-05
ODR01_DYNAMICS_T_SM,137,1.370000000000e+00,5.8360736522271501e-04,-5.2934697887868140e-05,-2.9668003127315937e-04,9.9887596444473503e-01,8.5857260006220442e-03,-4.4762846824051045e-02,1.3014626688816897e-02,4.3413663410514579e-02,-1.4587475030697100e-01,7.8945996205482455e-02,5.4337335569093668e+00,1.9511738679674016e-02,1.9511738678762949e-02,7.9419270758854226e-17,1.3186466014651362e-16,-2.6549175502080852e-01,-1.2250171340193863e+00,-1.3395278229140806e+00,-1.0138167187944334e+00,-8.8490177489128630e-02,1.5286743804059308e-05
ODR01_DYNAMICS_T_SM,138,1.380000000000e+00,6.0729894224653615e-04,-5.0269572215280370e-05,-3.0280970716459931e-04,9.9883580602949340e-01,8.7963871191148180e-03,-4.5493377315686527e-02,1.3416735350885079e-02,4.4293317946312610e-02,-1.4643835315300166e-01,8.0664930104219698e-02,5.5299657478964743e+00,1.9926745277625734e-02,1.9926745278294390e-02,2.0839798522522278e-16,8.4699994349719130e-17,-2.7020672310641869e-01,-1.2281574661742853e+00,-1.3384718807528460e+00,-1.0101546503593077e+00,-9.0061860274806615e-02,1.5231525635999042e-05
ODR01_DYNAMICS_T_SM,139,1.390000000000e+00,6.3165657920714532e-04,-4.7462069983119377e-05,-3.0902639785034171e-04,9.9879462140487008e-01,9.0111118599418075e-03,-4.6226623413933028e-02,1.3827631883163364e-02,4.5186181572888409e-02,-1.4696921419237780e-01,8.2398072659537511e-02,5.6269492366584375e+00,2.0346475775494564e-02,2.0346475775488426e-02,5.0990248331644440e-17,5.0284544030872683e-17,-2.7495995447970611e-01,-1.2313232830048946e+00,-1.3374073693249797e+00,-1.0064628632123092e+00,-9.1646297706852037e-02,1.5175859357026648e-05
ODR01_DYNAMICS_T_SM,140,1.400000000000e+00,6.5669023330127687e-04,-4.4509892791786311e-05,-3.1533109480673475e-04,9.9875239721993969e-01,9.2299550211736789e-03,-4.6962418934594817e-02,1.4247392236566356e-02,4.6092251218217820e-02,-1.4746687030783462e-01,8.4144873395586212e-02,5.7246765733934151e+00,2.0770896026695365e-02,2.0770896026747813e-02,6.5828127535813145e-17,6.0696732490514800e-17,-2.7975116131014438e-01,-1.2345143928061075e+00,-1.3363343530916576e+00,-1.0027415809085212e+00,-9.3243393840122701e-02,1.5119748337997261e-05
ODR01_DYNAMICS_T_SM,141,1.410000000000e+00,6.8240979564052203e-04,-4.1410781403768607e-05,-3.2172481058947267e-04,9.9870912027963399e-01,9.4529712007438722e-03,-4.7700595343865948e-02,1.4676089724385158e-02,4.7011513646091477e-02,-1.4793087111716674e-01,8.5904765227088634e-02,5.8231401739484339e+00,2.1199968425713020e-02,2.1199968426151867e-02,1.0338719065410936e-16,5.2416213486763008e-17,-2.8458005049631563e-01,-1.2377306003622222e+00,-1.3352528976945004e+00,-9.9899103109687615e-01,-9.4853050972482630e-02,1.5063196011494738e-05
ODR01_DYNAMICS_T_SM,142,1.420000000000e+00,7.0882508559272567e-04,-3.8162517821466124e-05,-3.2820857925137318e-04,9.9866477755296079e-01,9.6802147494491723e-03,-4.8440981823039950e-02,1.5113794941037300e-02,4.7943945211543930e-02,-1.4836077948138129e-01,8.7677164767004809e-02,5.9223323222274447e+00,2.1633651791922764e-02,2.1633651790976333e-02,5.3298655404908411e-17,1.7482234731686756e-16,-2.8944632372719953e-01,-1.2409717069877597e+00,-1.3341630699418461e+00,-9.9521144547255258e-01,-9.6475169665232174e-02,1.5006205871113895e-05
