t_s,base_dev_angle_deg,base_euler_x_deg,base_euler_y_deg,base_euler_z_deg,wb_x_dps,wb_y_dps,wb_z_dps,tip_L_mm,tip_R_mm,eta_L1,eta_L2,eta_L3,eta_L4,eta_L5,eta_R1,eta_R2,eta_R3,eta_R4,eta_R5,L_base_Nms,L_arm_Nms,L_panels_Nms,L_target_Nms,E_damp_J,abs_dP,abs_dL
0.4100,19.413893,0.967935,19.379748,0.819362,1.595466,0.437326,1.835926,-0.996150,0.861409,-2.67383383e-04,2.36154350e-05,-3.37691814e-06,-3.11627530e-07,7.60675160e-08,2.38513434e-04,-1.39351954e-05,1.99306648e-06,1.81306689e-07,-3.75606781e-08,6.31941047e-01,9.32274184e-02,2.08672512e-02,2.99885669e+00,5.59704010e-07,3.695e-16,2.220e-15
0.4200,19.419560,0.990374,19.383805,0.838900,1.595537,0.437004,1.835942,-0.890189,0.785208,-2.33323779e-04,2.98434044e-05,1.36834692e-06,8.83031352e-07,-3.46179439e-08,2.14074950e-04,-1.78855434e-05,-7.28106554e-07,-4.83934611e-07,1.75415044e-08,6.31945924e-01,9.32262028e-02,2.08612280e-02,2.99885863e+00,5.76907062e-07,1.398e-15,4.441e-15
0.4300,19.425253,1.012816,19.387852,0.858441,1.595625,0.436688,1.835948,-0.761034,0.694468,-1.98320240e-04,3.15116776e-05,4.58133536e-06,-6.60099046e-07,-9.09634613e-09,1.88860595e-04,-1.90588658e-05,-2.60950533e-06,3.63281799e-07,7.66609962e-09,6.31955365e-01,9.32260699e-02,2.08315341e-02,2.99887752e+00,5.91363281e-07,1.665e-16,1.332e-15
0.4400,19.430972,1.035261,19.391888,0.877984,1.595709,0.436369,1.835956,-0.636821,0.604970,-1.62511667e-04,2.83831726e-05,2.77116173e-06,-1.30227520e-07,5.21205801e-08,1.62970379e-04,-1.72867920e-05,-1.60641066e-06,8.14843972e-08,-2.78871728e-08,6.31963419e-01,9.32256296e-02,2.08085993e-02,2.99889169e+00,6.05429706e-07,8.379e-16,4.441e-16
0.4500,19.436718,1.057709,19.395914,0.897530,1.595791,0.436049,1.835965,-0.507934,0.511634,-1.26039607e-04,2.09549738e-05,-2.03081943e-06,7.96560886e-07,-8.17696420e-08,1.36507114e-04,-1.28515786e-05,1.15452119e-06,-4.37316351e-07,4.51318405e-08,6.31971056e-01,9.32250896e-02,2.07878904e-02,2.99890425e+00,6.25086799e-07,3.591e-16,3.997e-15
0.4600,19.442490,1.080159,19.399930,0.917077,1.595852,0.435718,1.835987,-0.349465,0.400498,-8.90472065e-05,1.03797328e-05,-4.54910400e-06,-7.42229719e-07,9.82443286e-08,1.09576334e-04,-6.44100664e-06,2.64012144e-06,4.09796936e-07,-5.08754759e-08,6.31972756e-01,9.32231668e-02,2.07974381e-02,2.99889526e+00,6.46217400e-07,3.279e-16,1.332e-15
0.4700,19.448288,1.102612,19.403935,0.936627,1.595903,0.435383,1.836015,-0.176752,0.280003,-5.16788366e-05,-1.71314404e-06,-2.05898721e-06,4.52954930e-08,-9.38559930e-08,8.22858074e-05,9.58259994e-07,1.24292615e-06,-1.49815938e-08,5.01243127e-08,6.31971550e-01,9.32205643e-02,2.08218680e-02,2.99887564e+00,6.69173656e-07,5.829e-16,3.553e-15
0.4800,19.454112,1.125068,19.407929,0.956179,1.595968,0.435055,1.836034,0.004895,0.153801,-1.40826163e-05,-1.34699255e-05,2.66601151e-06,6.84053596e-07,7.53770423e-08,5.47431993e-05,8.21145591e-06,-1.48020454e-06,-3.76340019e-07,-3.75600827e-08,6.31974530e-01,9.32189347e-02,2.08250572e-02,2.99887114e+00,6.94025454e-07,8.760e-16,3.109e-15
0.4900,19.459962,1.147526,19.411913,0.975733,1.596031,0.434726,1.836054,0.175787,0.033507,2.35918423e-05,-2.30958684e-05,4.44277450e-06,-7.90053618e-07,-4.14107074e-08,2.70567010e-05,1.42103495e-05,-2.54207784e-06,4.37117655e-07,2.15029610e-08,6.31977012e-01,9.32171956e-02,2.08306565e-02,2.99886495e+00,7.14307695e-07,2.845e-16,3.997e-15
0.5000,19.465838,1.169987,19.415887,0.995290,1.596088,0.434393,1.836079,0.309987,-0.065746,6.11967081e-05,-2.91279018e-05,1.36416171e-06,2.07975877e-07,3.80639072e-09,-6.63738647e-07,1.80435058e-05,-8.01468898e-07,-1.04796584e-07,6.81863567e-10,6.31977464e-01,9.32149847e-02,2.08465941e-02,2.99885139e+00,7.32159745e-07,6.523e-16,4.441e-16
0.5100,19.471741,1.192451,19.419849,1.014849,1.596138,0.434057,1.836107,0.425484,-0.153652,9.85840994e-05,-3.06581211e-05,-3.15549179e-06,5.51794740e-07,3.58088160e-08,-2.83084081e-05,1.91338533e-05,1.81074727e-06,-3.04146229e-07,-1.91091438e-08,6.31976329e-01,9.32124038e-02,2.08706467e-02,2.99883205e+00,7.49344257e-07,8.136e-16,3.553e-15
