t_s,base_dev_angle_deg,base_euler_x_deg,base_euler_y_deg,base_euler_z_deg,wb_x_dps,wb_y_dps,wb_z_dps,tip_L_mm,tip_R_mm,eta_L1,eta_L2,eta_L3,eta_L4,eta_L5,eta_R1,eta_R2,eta_R3,eta_R4,eta_R5,L_base_Nms,L_arm_Nms,L_panels_Nms,L_target_Nms,E_damp_J,abs_dP,abs_dL
0.3200,19.358758,0.743727,19.338680,0.624103,1.595070,0.440970,1.835452,-1.776806,1.417667,-5.28840443e-04,-1.21747519e-06,3.74957170e-06,-5.98464453e-08,-5.65135668e-07,4.20940794e-04,7.07626031e-07,-2.12412713e-06,3.17093416e-08,3.10585165e-07,6.32044122e-01,9.32718773e-02,2.03954306e-02,2.99915545e+00,5.90401114e-07,2.724e-16,1.110e-16
0.3300,19.364165,0.766140,19.342845,0.643615,1.595107,0.440636,1.835489,-1.660233,1.343111,-5.10842179e-04,-1.35917686e-05,5.36735531e-06,-1.31622077e-06,5.91913610e-07,4.08871784e-04,8.33291715e-06,-3.08673508e-06,7.43837485e-07,-3.23714204e-07,6.32039956e-01,9.32684639e-02,2.04371973e-02,2.99912284e+00,6.04862947e-07,2.810e-16,1.332e-15
0.3400,19.369598,0.788555,19.347001,0.663130,1.595142,0.440303,1.835528,-1.585365,1.291108,-4.90791244e-04,-2.38134821e-05,1.12225879e-06,1.51537617e-06,-5.08743394e-07,3.95251849e-04,1.46842086e-05,-6.53342338e-07,-8.41812142e-07,2.81075776e-07,6.32035402e-01,9.32649506e-02,2.04811844e-02,2.99908859e+00,6.20502127e-07,7.303e-16,2.665e-15
0.3500,19.375057,0.810973,19.351145,0.682648,1.595167,0.439966,1.835572,-1.497718,1.231442,-4.68767341e-04,-3.03286931e-05,-4.28682697e-06,-3.72680766e-07,3.39754784e-07,3.80136099e-04,1.87961801e-05,2.48237438e-06,2.07171294e-07,-1.86580544e-07,6.32028179e-01,9.32608028e-02,2.05390667e-02,2.99904436e+00,6.34396708e-07,1.247e-15,7.772e-16
0.3600,19.380542,0.833394,19.355279,0.702168,1.595156,0.439610,1.835638,-1.411916,1.172004,-4.44856299e-04,-3.21551768e-05,-4.94136177e-06,-1.06462061e-06,-1.12864288e-07,3.63586515e-04,2.00501253e-05,2.88989203e-06,6.04225978e-07,6.48299864e-08,6.32010920e-01,9.32543243e-02,2.06479162e-02,2.99896385e+00,6.42727482e-07,1.972e-15,8.882e-16
0.3700,19.386054,0.855817,19.359403,0.721691,1.595176,0.439269,1.835685,-1.328147,1.113039,-4.19152907e-04,-2.90318662e-05,-1.78735890e-07,1.54499303e-06,-1.23552967e-07,3.45669788e-04,1.82659441e-05,1.54387594e-07,-8.59436368e-07,6.72451447e-08,6.32002188e-01,9.32498288e-02,2.07134797e-02,2.99891422e+00,6.56150433e-07,2.359e-16,4.441e-16
0.3800,19.391592,0.878242,19.363515,0.741217,1.595210,0.438935,1.835724,-1.235346,1.048649,-3.91762720e-04,-2.14569989e-05,4.74145958e-06,-6.51480114e-07,3.32167637e-07,3.26455707e-04,1.37271242e-05,-2.70388308e-06,3.63226881e-07,-1.79729728e-07,6.31997360e-01,9.32462649e-02,2.07586833e-02,2.99887924e+00,6.72749279e-07,1.023e-15,2.665e-15
0.3900,19.397156,0.900670,19.367618,0.760745,1.595252,0.438603,1.835757,-1.177226,1.003404,-3.62795770e-04,-1.06060496e-05,4.44584825e-06,-7.87055430e-07,-4.71127867e-07,3.06020497e-04,7.13781144e-06,-2.56332428e-06,4.49341003e-07,2.58824223e-07,6.31994520e-01,9.32431826e-02,2.07933602e-02,2.99885187e+00,6.89330055e-07,1.372e-15,8.882e-16
0.4000,19.402747,0.923100,19.371709,0.780275,1.595305,0.438275,1.835784,-1.138136,0.968672,-3.32367535e-04,1.84984747e-06,-6.85696565e-07,1.51167952e-06,5.23165537e-07,2.84445590e-04,-4.87006540e-07,3.89705477e-07,-8.42030783e-07,-2.85835159e-07,6.31994736e-01,9.32408273e-02,2.08121376e-02,2.99883590e+00,7.12983810e-07,2.984e-16,4.441e-16
0.4100,19.408364,0.945533,19.375791,0.799809,1.595353,0.437943,1.835814,-1.081541,0.923214,-3.00600280e-04,1.40003211e-05,-4.99828333e-06,-8.86711130e-07,-4.76757449e-07,2.61816137e-04,-7.97852022e-06,2.90028549e-06,4.95442372e-07,2.63373781e-07,6.31993402e-01,9.32381276e-02,2.08384688e-02,2.99881465e+00,7.36093008e-07,5.638e-16,3.331e-16
0.4200,19.414007,0.967968,19.379861,0.819344,1.595396,0.437608,1.835847,-0.998077,0.861229,-2.67618063e-04,2.39908970e-05,-3.79224804e-06,-4.95390770e-07,3.48950563e-07,2.38223563e-04,-1.41915770e-05,2.23288972e-06,2.86812820e-07,-1.91546345e-07,6.31990563e-01,9.32350950e-02,2.08720930e-02,2.99878831e+00,7.54249073e-07,5.291e-16,4.441e-16
0.4300,19.419676,0.990407,19.383921,0.838882,1.595467,0.437285,1.835863,-0.894139,0.786031,-2.33553521e-04,3.03025147e-05,1.55481656e-06,1.42068206e-06,-1.60329087e-07,2.13760627e-04,-1.81823587e-05,-8.49343406e-07,-7.92505740e-07,9.06452070e-08,6.31995256e-01,9.32338377e-02,2.08668538e-02,2.99878973e+00,7.74094119e-07,1.011e-15,2.220e-15
0.4400,19.425372,1.012848,19.387971,0.858422,1.595561,0.436972,1.835866,-0.760170,0.692400,-1.98544427e-04,3.19838046e-05,5.15935811e-06,-1.07226820e-06,-4.79909155e-08,1.88522911e-04,-1.93507019e-05,-2.95554348e-06,5.99745085e-07,2.57306697e-08,6.32006249e-01,9.32340647e-02,2.08291599e-02,2.99881435e+00,7.90942160e-07,5.829e-16,3.109e-15
0.4500,19.431094,1.035292,19.392010,0.877964,1.595640,0.436650,1.835876,-0.636934,0.603437,-1.62729343e-04,2.87961559e-05,3.10542900e-06,-2.02571628e-07,2.42852523e-07,1.62610743e-04,-1.75290370e-05,-1.79699438e-06,1.23113369e-07,-1.30678062e-07,6.32013031e-01,9.32333292e-02,2.08125560e-02,2.99882405e+00,8.06586410e-07,5.551e-16,2.220e-15
0.4600,19.436843,1.057739,19.396039,0.897509,1.595727,0.436333,1.835882,-0.513217,0.512956,-1.26250092e-04,2.12458493e-05,-2.30260011e-06,1.27955475e-06,-3.84740098e-07,1.36126854e-04,-1.30074729e-05,1.32571657e-06,-7.14571298e-07,2.11210461e-07,6.32022156e-01,9.32331334e-02,2.07841997e-02,2.99884209e+00,8.28651367e-07,1.110e-16,1.776e-15
0.4700,19.442617,1.080188,19.400057,0.917055,1.595786,0.436001,1.835906,-0.349749,0.398896,-8.92497188e-05,1.05045079e-05,-5.12359525e-06,-1.20323274e-06,4.55068099e-07,1.09176942e-04,-6.48708199e-06,2.98222181e-06,6.74310755e-07,-2.48193205e-07,6.32023188e-01,9.32310526e-02,2.07970813e-02,2.99883074e+00,8.51983691e-07,1.433e-15,2.220e-15
0.4800,19.448418,1.102640,19.404065,0.936605,1.595832,0.435663,1.835936,-0.179328,0.279536,-5.18723784e-05,-1.77278153e-06,-2.30563377e-06,8.02387645e-08,-4.38511554e-07,8.18689884e-05,1.02868702e-06,1.38062616e-06,-3.48602004e-08,2.42152197e-07,6.32020797e-01,9.32281725e-02,2.08274647e-02,2.99880692e+00,8.76702557e-07,8.431e-16,1.776e-15
0.4900,19.454245,1.125095,19.408063,0.956156,1.595902,0.435338,1.835953,0.005762,0.151299,-1.42661969e-05,-1.37040208e-05,3.01293655e-06,1.09674625e-06,3.46360144e-07,5.43107582e-05,8.38725436e-06,-1.69494754e-06,-6.13297711e-07,-1.89990146e-07,6.32024990e-01,9.32268234e-02,2.08244003e-02,2.99880689e+00,9.03792642e-07,2.810e-16,0.000e+00
0.5000,19.460098,1.147553,19.412049,0.975710,1.595964,0.435008,1.835974,0.179486,0.029363,2.34185116e-05,-2.34681771e-05,4.99791280e-06,-1.27867723e-06,-1.92619064e-07,2.66100942e-05,1.44640812e-05,-2.87104361e-06,7.17432838e-07,1.08339894e-07,6.32026992e-01,9.32249733e-02,2.08323063e-02,2.99879910e+00,9.26033950e-07,9.472e-16,1.332e-15
0.5100,19.465977,1.170013,19.416026,0.995266,1.596021,0.434676,1.835998,0.311072,-0.068340,6.10345276e-05,-2.95808747e-05,1.51923489e-06,3.42111626e-07,1.22724620e-08,-1.12259632e-06,1.83361766e-05,-8.84225931e-07,-1.81520778e-07,-7.26511712e-09,6.32027818e-01,9.32228464e-02,2.08462892e-02,2.99878695e+00,9.45702971e-07,1.995e-16,3.331e-16
0.5200,19.471882,1.192476,19.419991,1.014824,1.596071,0.434340,1.836026,0.424481,-0.154956,9.84336156e-05,-3.11222634e-05,-3.56541330e-06,8.82275856e-07,1.66595057e-07,-2.87777499e-05,1.94205536e-05,2.06182847e-06,-4.94001951e-07,-8.87130633e-08,6.32026525e-01,9.32202277e-02,2.08710512e-02,2.99876714e+00,9.64759588e-07,9.298e-16,8.882e-16
0.5300,19.477813,1.214941,19.423946,1.034385,1.596110,0.433998,1.836062,0.540953,-0.242710,1.35469257e-04,-2.78742842e-05,-4.68720261e-06,-1.29845754e-06,-3.06554876e-07,-5.62456827e-05,1.75628202e-05,2.74056033e-06,7.29891003e-07,1.68283168e-07,6.32021954e-01,9.32168499e-02,2.09124382e-02,2.99873552e+00,9.81394838e-07,3.192e-16,3.553e-15
0.5400,19.483770,1.237409,19.427891,1.053948,1.596153,0.433657,1.836094,0.648875,-0.325084,1.71996904e-04,-2.03513931e-05,-6.64568204e-07,5.74112705e-07,3.89230874e-07,-8.34171744e-05,1.30589845e-05,4.36144756e-07,-3.11715534e-07,-2.11922579e-07,6.32018486e-01,9.32137464e-02,2.09478383e-02,2.99870827e+00,1.00178920e-06,9.975e-16,1.332e-15
0.5500,19.489753,1.259879,19.431824,1.073513,1.596233,0.433333,1.836104,0.747490,-0.401578,2.07869653e-04,-9.72153039e-06,4.05373562e-06,6.46117754e-07,-3.96439318e-07,-1.10186974e-04,6.60658041e-06,-2.30354258e-06,-3.62894811e-07,2.18807668e-07,6.32025304e-01,9.32130608e-02,2.09303160e-02,2.99871877e+00,1.02496422e-06,1.665e-16,1.332e-15
