station_mm,Y_min,Y_max,Z_min,Z_max,width_Y,width_Z,responsible_Y_min,responsible_Y_max,responsible_Z_min,responsible_Z_max,component_set_at_station
151.0,-81.308,-1.058,31.561,31.612,80.250,0.051,link3,link3,link3,link3,link3
152.0,-1.068,-1.065,43.285,47.610,0.003,4.325,link3,link3,link3,link3,link3
153.0,-81.361,-1.066,44.713,115.986,80.295,71.273,link3,link3,link3,link3,link3
154.0,-81.310,-1.060,35.091,35.142,80.250,0.051,link3,link3,link3,link3,link3
157.0,-81.363,-1.064,40.887,118.223,80.299,77.336,link3,link3,link3,link3,link3
160.0,-79.365,-3.115,121.546,121.594,76.250,0.048,link3,link3,link3,link3,link3
161.0,-81.363,-1.114,119.600,119.650,80.250,0.051,link3,link3,link3,link3,link3
165.0,-81.364,-1.114,71.170,122.205,80.250,51.035,link3,link3,link2,link3,link2|link3
166.0,-74.619,-8.833,71.173,128.207,65.786,57.034,link2,link2,link2,link2,link2
167.0,-60.019,-11.933,71.264,128.160,48.086,56.897,link2,link2,link2,link2,link2
168.0,-71.319,-11.969,71.264,128.110,59.350,56.846,link2,link2,link2,link2,link2
169.0,-81.364,-1.114,119.817,119.868,80.250,0.051,link3,link3,link3,link3,link3
170.0,-79.365,-3.115,71.496,127.840,76.250,56.344,link3,link3,link2,link2,link2|link3
171.0,-74.583,-8.833,71.652,127.695,65.750,56.043,link2,link2,link2,link2,link2
172.0,-71.318,-18.818,127.276,127.427,52.500,0.151,link2,link2,link2,link2,link2
173.0,-81.363,-1.113,72.129,127.243,80.250,55.114,link3,link3,link2,link2,link2|link3
174.0,-79.364,-3.114,72.552,120.494,76.250,47.942,link3,link3,link2,link3,link2|link3
175.0,-74.618,-8.834,72.881,126.607,65.784,53.726,link2,link2,link2,link2,link2
176.0,-66.518,-11.934,73.106,126.344,54.584,53.238,link2,link2,link2,link2,link2
177.0,-81.362,-1.112,116.550,125.802,80.250,9.253,link3,link3,link3,link2,link2|link3
178.0,-79.363,-3.113,73.879,125.489,76.250,51.610,link3,link3,link2,link2,link2|link3
179.0,-74.617,-8.835,74.825,124.711,65.782,49.886,link2,link2,link2,link2,link2
180.0,-81.360,-1.110,74.930,124.293,80.250,49.362,link3,link3,link2,link2,link2|link3
181.0,-71.316,-18.786,75.744,123.616,52.530,47.871,link2,link2,link2,link2,link2
182.0,-79.361,-3.111,76.459,122.906,76.250,46.447,link3,link3,link2,link2,link2|link3
183.0,-81.358,-1.095,77.435,122.147,80.263,44.712,link3,link3,link2,link2,link2|link3
184.0,-66.514,-11.937,78.038,121.558,54.577,43.520,link2,link2,link2,link2,link2
185.0,-81.355,-1.097,78.892,120.826,80.258,41.933,link3,link3,link2,link2,link2|link3
186.0,-81.353,-1.100,79.734,119.577,80.253,39.843,link3,link3,link2,link2,link2|link3
187.0,-79.356,-3.106,80.639,118.218,76.250,37.578,link3,link3,link2,link2,link2|link3
188.0,-79.353,-3.103,81.698,117.488,76.250,35.790,link3,link3,link2,link2,link2|link3
189.0,-74.611,-8.841,83.259,116.237,65.770,32.977,link2,link2,link2,link2,link2
190.0,-71.310,-18.792,85.936,113.689,52.518,27.754,link2,link2,link2,link2,link2
191.0,-74.608,-8.858,86.412,112.971,65.750,26.559,link2,link2,link2,link2,link2
192.0,-76.305,-6.055,26.820,111.131,70.250,84.311,link3,link3,link3,link2,link2|link3
193.0,-76.305,-6.055,27.039,108.254,70.250,81.216,link3,link3,link3,link2,link2|link3
194.0,-76.306,-6.055,27.607,104.250,70.251,76.643,link3,link3,link3,link2,link2|link3
