lane_id,sample_index,t_s,base_x_m,base_y_m,base_z_m,quat_w,quat_x,quat_y,quat_z,base_wx_rad_s,base_wy_rad_s,base_wz_rad_s,base_dev_deg,tip_L_mm,tip_R_mm,energy_J,joint_work_J,damping_energy_J,momentum_dP_norm,momentum_dL_norm,eta_1,eta_2,eta_3,eta_4,eta_5,eta_6
LEGACY_A__M07_ARM_ONLY,29,2.900000000000e+00,1.4976001133265849e-02,7.0386794086499025e-04,-2.5495834028196008e-03,9.6933847629166425e-01,1.4645614252056668e-01,-1.0807648653958862e-01,1.6508479565304662e-01,2.3248576606258642e-01,2.8367510413759022e-02,1.7471538148532750e-01,2.8449881450826513e+01,9.1688564203329359e-01,-1.1768633796345234e+00,4.2197300636585978e-02,4.2197450409207658e-02,1.4977314018833034e-07,1.0536214011716709e-16,3.3665655915670573e-17,2.7211801340586383e-04,1.6279587793905745e-06,1.0513601736254867e-07,-3.5008869414808865e-04,-2.9646449616693351e-06,-1.9687719186643659e-07
LEGACY_A__M07_ARM_ONLY,30,3.000000000000e+00,1.6132917882718371e-02,7.5905200473771594e-04,-2.8370949268299232e-03,9.6637534639222489e-01,1.5628771906335492e-01,-1.0582840271262910e-01,1.7462298799005477e-01,2.2173679766956975e-01,3.6473261447543107e-02,1.5883710164491685e-01,2.9800326629045831e+01,1.1973875373574179e+00,-1.5864118469379489e+00,3.7802877485184148e-02,3.7803040949582825e-02,1.6346450173257977e-07,4.4099182010558792e-17,1.0619786568183342e-16,3.5566117978491239e-04,2.4406364388114248e-06,1.5755975873356088e-07,-4.7139162644643329e-04,-3.4399243918519245e-06,-2.3691000596852377e-07
LEGACY_A__M07_ARM_ONLY,31,3.100000000000e+00,1.7235826283209413e-02,8.0205497825304082e-04,-3.1227515148807656e-03,9.6350159665596358e-01,1.6553267543127337e-01,-1.0321113225258767e-01,1.8333321789875490e-01,2.0838070414990817e-01,4.1958219639739870e-02,1.4235733224796068e-01,3.1055205617399523e+01,1.4184786946769328e+00,-1.8837695625592890e+00,3.3016802922383945e-02,3.3016974109081082e-02,1.7118646183152146e-07,1.4452443426627620e-16,2.7817340298081976e-17,4.2152760112726514e-04,3.1047061519001229e-06,2.0457088736948689e-07,-5.5968440698166947e-04,-4.0107862866960538e-06,-2.7246520880881661e-07
LEGACY_A__M07_ARM_ONLY,32,3.200000000000e+00,1.8271255228467682e-02,8.3312486582279191e-04,-3.4011653061628670e-03,9.6076399704258730e-01,1.7409930490246511e-01,-1.0036886231954001e-01,1.9117548351164518e-01,1.9282211387621456e-01,4.4972064060210391e-02,1.2578012742587916e-01,3.2206262608197477e+01,1.5960698627622041e+00,-2.0418630072978545e+00,2.8060794049210590e-02,2.8060968495206760e-02,1.7444585503897604e-07,7.6583670150801433e-17,8.9468951883508068e-17,4.7450813386807386e-04,3.7144591011231687e-06,2.4525200395944403e-07,-6.0682697858264252e-04,-4.5250536355889451e-06,-3.0137081738829738e-07
LEGACY_A__M07_ARM_ONLY,33,3.300000000000e+00,1.9227722481104322e-02,8.5320012640261540e-04,-3.6670473898865090e-03,9.5820424857740383e-01,1.8191535483440793e-01,-9.7437128738531997e-02,1.9813487231397511e-01,1.7550447312153711e-01,4.5752422614597388e-02,1.0952460875628595e-01,3.3247428400514856e+01,1.7483211151711600e+00,-2.0726093166216377e+00,2.3148744351830453e-02,2.3148920206858905e-02,1.7585464747793087e-07,2.8780207423912297e-17,6.7541879574417877e-17,5.1991515948011523e-04,4.2218413216707758e-06,2.7864582308457006e-07,-6.1606262683112185e-04,-4.7075071170481967e-06,-3.2215763722478584e-07
LEGACY_A__M07_ARM_ONLY,34,3.400000000000e+00,2.0095970033137161e-02,8.6372710283375465e-04,-3.9154289131501496e-03,9.5585756191179350e-01,1.8892843744649540e-01,-9.4537944837703197e-02,2.0421788326669846e-01,1.5689640332627028e-01,4.4598133842380379e-02,9.3917907219466149e-02,3.4174836120788889e+01,1.8862677387953106e+00,-2.0180201076616315e+00,1.8473110931427169e-02,1.8473288018357178e-02,1.7708501470133415e-07,4.1243027840034767e-17,4.6711375638021305e-17,5.6092942652432849e-04,4.5496764464895098e-06,3.0360822269392736e-07,-6.0027763102760644e-04,-5.0463443852006585e-06,-3.3539116577916759e-07
LEGACY_A__M07_ARM_ONLY,35,3.500000000000e+00,2.0869127187529903e-02,8.6648425046460982e-04,-4.1419369754245108e-03,9.5375153143312985e-01,1.9510633755903842e-01,-9.1776367017179200e-02,2.0944839887281641e-01,1.3748175929741629e-01,4.1841544448046900e-02,7.9197318802456854e-02,3.4986819750332863e+01,2.0074126194920692e+00,-1.9376728114795465e+00,1.4194422625091520e-02,1.4194600881167150e-02,1.7825381422724329e-07,8.7168775853027017e-17,2.8570321615463072e-17,5.9692977365023128e-04,4.8131738335208399e-06,3.1955096399286791e-07,-5.7663473733946175e-04,-5.1225366515406270e-06,-3.4204131431766161e-07
LEGACY_A__M07_ARM_ONLY,36,3.600000000000e+00,2.1542803228212518e-02,8.6340969225769159e-04,-4.3430353072223425e-03,9.5190540478877117e-01,2.0043681509361722e-01,-8.9238237198243753e-02,2.1386378962041044e-01,1.1775140260083208e-01,3.7826420550677940e-02,6.5520450873455455e-02,3.5683867528392291e+01,2.0970891071411177e+00,-1.8809544732359760e+00,1.0434296622557283e-02,1.0434475515992556e-02,1.7889136381848056e-07,5.3051065913068645e-17,4.5673046013830155e-17,6.2348445450134357e-04,4.9093806593564215e-06,3.2678341204628289e-07,-5.5978970048012940e-04,-5.0152055432047213e-06,-3.4078983179782689e-07
LEGACY_A__M07_ARM_ONLY,37,3.700000000000e+00,2.2115131796921182e-02,8.5646133758313190e-04,-4.5162516012517973e-03,9.5032972498946910e-01,2.0492700762726582e-01,-8.6988968583998863e-02,2.1751150473266181e-01,9.8183963293555332e-02,3.2900381561141799e-02,5.2981644167133614e-02,3.6268544967312558e+01,2.1328594732808916e+00,-1.8689363041610352e+00,7.2721343926362061e-03,7.2723133926509767e-03,1.7899780456336694e-07,6.0162963732282896e-17,3.0245074987873967e-17,6.3399371649750544e-04,4.8606920441660374e-06,3.2553540487798548e-07,-5.5625315233637056e-04,-5.0153048897884084e-06,-3.3058414554174924e-07
LEGACY_A__M07_ARM_ONLY,38,3.800000000000e+00,2.2586784496674537e-02,8.4749343446120155e-04,-4.6603318769411909e-03,9.4902632078393745e-01,2.0860244011970325e-01,-8.5073069940004881e-02,2.2044644974776045e-01,7.9239505697446130e-02,2.7405956113435520e-02,4.1631328753608733e-02,3.6745393449761579e+01,2.0936052422252294e+00,-1.8897487196875027e+00,4.7435512229735263e-03,4.7437303615011162e-03,1.7913821245439810e-07,2.2870241938857688e-17,9.1639539013852247e-18,6.2229918838057144e-04,4.7411881417809886e-06,3.1568398266968926e-07,-5.6206091323026102e-04,-4.6633457259871327e-06,-3.1311268349177618e-07
LEGACY_A__M07_ARM_ONLY,39,3.900000000000e+00,2.2960973864093581e-02,8.3812917034126503e-04,-4.7752751083670201e-03,9.4798859952836478e-01,2.1150565359243045e-01,-8.3514119780078999e-02,2.2272935473360309e-01,6.1356699603191046e-02,2.1678942910686085e-02,3.1497500984332287e-02,3.7120811859874735e+01,1.9688871521094247e+00,-1.8995392612560984e+00,2.8409897980434962e-03,2.8411698446792963e-03,1.8004943852544450e-07,4.0107860940385293e-17,8.3053442547687986e-18,5.8520692935480796e-04,4.4378911150842454e-06,2.9731273919478289e-07,-5.6462970743473859e-04,-4.3193243602581559e-06,-2.8972338501259027e-07
LEGACY_A__M07_ARM_ONLY,40,4.000000000000e+00,2.3243468874063825e-02,8.2965670512186575e-04,-4.8623074445034590e-03,9.4720192908384393e-01,2.1369511010140974e-01,-8.2315153748240888e-02,2.2442620373297489e-01,4.4954484631271246e-02,1.6049158490583207e-02,2.2607517191039001e-02,3.7402983813654444e+01,1.7622270353352423e+00,-1.8438763439384613e+00,1.5164137782369145e-03,1.5165964373934514e-03,1.8265788655679499e-07,9.5138354522934717e-18,9.2682244453998808e-18,5.2384567749365113e-04,4.0403625550109082e-06,2.7062335045156825e-07,-5.4787449443029169e-04,-3.9619340562381713e-06,-2.6006916481052991e-07
