instance,parent,mount_interface,physical_joint_status,source_revision
M6_root_bolt_-70_-70,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
M6_bottom_washer_-70_-70,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
M6_root_nut_-70_-70,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
M6_top_washer_70_-70,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
M6_root_bolt_70_-70,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
M6_bottom_washer_70_-70,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
M6_root_nut_70_-70,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
M6_top_washer_-70_70,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
M6_root_bolt_-70_70,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
M6_bottom_washer_-70_70,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
M6_root_nut_-70_70,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
M6_top_washer_70_70,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
M6_root_bolt_70_70,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
M6_bottom_washer_70_70,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
M6_root_nut_70_70,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
M5_interstage_bolt_0,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
M5_top_washer_0,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
M5_bottom_washer_0,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
M5_interstage_nut_0,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
M5_interstage_bolt_1,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
