case_id,target,tumble_dps,approach_mps,arm_speed,pose_err_deg,inertia_scale,reaction_aware,v0_result,v0_reason,v0_post_rate_dps,v2_result,v2_reason,v2_post_rate_dps,migration
C0088,target_satellite_v0,0.5,0.01,1.0,3.0,1.0,1,FAIL,POSE_UNCERTAINTY_FAIL,0.271,FAIL,POSE_UNCERTAINTY_FAIL,0.231,FAIL->FAIL
C0089,target_satellite_v0,0.5,0.01,1.0,3.0,1.2,0,FAIL,POSE_UNCERTAINTY_FAIL,0.325,FAIL,POSE_UNCERTAINTY_FAIL,0.252,FAIL->FAIL
C0090,target_satellite_v0,0.5,0.01,1.0,3.0,1.2,1,FAIL,POSE_UNCERTAINTY_FAIL,0.325,FAIL,POSE_UNCERTAINTY_FAIL,0.252,FAIL->FAIL
C0091,target_satellite_v0,0.5,0.01,1.5,1.0,0.8,0,FAIL,BASE_REACTION_FAIL,0.217,FAIL,BASE_REACTION_FAIL,0.206,FAIL->FAIL
C0092,target_satellite_v0,0.5,0.01,1.5,1.0,0.8,1,SAFE,SAFE,0.217,SAFE,SAFE,0.206,SAFE->SAFE
C0093,target_satellite_v0,0.5,0.01,1.5,1.0,1.0,0,FAIL,BASE_REACTION_FAIL,0.271,FAIL,BASE_REACTION_FAIL,0.231,FAIL->FAIL
C0094,target_satellite_v0,0.5,0.01,1.5,1.0,1.0,1,SAFE,SAFE,0.271,SAFE,SAFE,0.231,SAFE->SAFE
C0095,target_satellite_v0,0.5,0.01,1.5,1.0,1.2,0,FAIL,BASE_REACTION_FAIL,0.325,FAIL,BASE_REACTION_FAIL,0.252,FAIL->FAIL
C0096,target_satellite_v0,0.5,0.01,1.5,1.0,1.2,1,SAFE,SAFE,0.325,SAFE,SAFE,0.252,SAFE->SAFE
C0097,target_satellite_v0,0.5,0.01,1.5,2.0,0.8,0,FAIL,BASE_REACTION_FAIL,0.217,FAIL,BASE_REACTION_FAIL,0.206,FAIL->FAIL
C0098,target_satellite_v0,0.5,0.01,1.5,2.0,0.8,1,SAFE,SAFE,0.217,SAFE,SAFE,0.206,SAFE->SAFE
C0099,target_satellite_v0,0.5,0.01,1.5,2.0,1.0,0,FAIL,BASE_REACTION_FAIL,0.271,FAIL,BASE_REACTION_FAIL,0.231,FAIL->FAIL
C0100,target_satellite_v0,0.5,0.01,1.5,2.0,1.0,1,SAFE,SAFE,0.271,SAFE,SAFE,0.231,SAFE->SAFE
C0101,target_satellite_v0,0.5,0.01,1.5,2.0,1.2,0,FAIL,BASE_REACTION_FAIL,0.325,FAIL,BASE_REACTION_FAIL,0.252,FAIL->FAIL
C0102,target_satellite_v0,0.5,0.01,1.5,2.0,1.2,1,SAFE,SAFE,0.325,SAFE,SAFE,0.252,SAFE->SAFE
C0103,target_satellite_v0,0.5,0.01,1.5,3.0,0.8,0,FAIL,POSE_UNCERTAINTY_FAIL,0.217,FAIL,POSE_UNCERTAINTY_FAIL,0.206,FAIL->FAIL
C0104,target_satellite_v0,0.5,0.01,1.5,3.0,0.8,1,FAIL,POSE_UNCERTAINTY_FAIL,0.217,FAIL,POSE_UNCERTAINTY_FAIL,0.206,FAIL->FAIL
C0105,target_satellite_v0,0.5,0.01,1.5,3.0,1.0,0,FAIL,POSE_UNCERTAINTY_FAIL,0.271,FAIL,POSE_UNCERTAINTY_FAIL,0.231,FAIL->FAIL
C0106,target_satellite_v0,0.5,0.01,1.5,3.0,1.0,1,FAIL,POSE_UNCERTAINTY_FAIL,0.271,FAIL,POSE_UNCERTAINTY_FAIL,0.231,FAIL->FAIL
C0107,target_satellite_v0,0.5,0.01,1.5,3.0,1.2,0,FAIL,POSE_UNCERTAINTY_FAIL,0.325,FAIL,POSE_UNCERTAINTY_FAIL,0.252,FAIL->FAIL
C0108,target_satellite_v0,0.5,0.01,1.5,3.0,1.2,1,FAIL,POSE_UNCERTAINTY_FAIL,0.325,FAIL,POSE_UNCERTAINTY_FAIL,0.252,FAIL->FAIL
C0109,target_satellite_v0,0.5,0.02,0.5,1.0,0.8,0,FAIL,BASE_REACTION_FAIL,0.217,FAIL,BASE_REACTION_FAIL,0.206,FAIL->FAIL
C0110,target_satellite_v0,0.5,0.02,0.5,1.0,0.8,1,SAFE,SAFE,0.217,SAFE,SAFE,0.206,SAFE->SAFE
C0111,target_satellite_v0,0.5,0.02,0.5,1.0,1.0,0,FAIL,BASE_REACTION_FAIL,0.271,FAIL,BASE_REACTION_FAIL,0.231,FAIL->FAIL
C0112,target_satellite_v0,0.5,0.02,0.5,1.0,1.0,1,SAFE,SAFE,0.271,SAFE,SAFE,0.231,SAFE->SAFE
C0113,target_satellite_v0,0.5,0.02,0.5,1.0,1.2,0,FAIL,BASE_REACTION_FAIL,0.325,FAIL,BASE_REACTION_FAIL,0.252,FAIL->FAIL
C0114,target_satellite_v0,0.5,0.02,0.5,1.0,1.2,1,SAFE,SAFE,0.325,SAFE,SAFE,0.252,SAFE->SAFE
C0115,target_satellite_v0,0.5,0.02,0.5,2.0,0.8,0,FAIL,BASE_REACTION_FAIL,0.217,FAIL,BASE_REACTION_FAIL,0.206,FAIL->FAIL
C0116,target_satellite_v0,0.5,0.02,0.5,2.0,0.8,1,SAFE,SAFE,0.217,SAFE,SAFE,0.206,SAFE->SAFE
C0117,target_satellite_v0,0.5,0.02,0.5,2.0,1.0,0,FAIL,BASE_REACTION_FAIL,0.271,FAIL,BASE_REACTION_FAIL,0.231,FAIL->FAIL
C0118,target_satellite_v0,0.5,0.02,0.5,2.0,1.0,1,SAFE,SAFE,0.271,SAFE,SAFE,0.231,SAFE->SAFE
C0119,target_satellite_v0,0.5,0.02,0.5,2.0,1.2,0,FAIL,BASE_REACTION_FAIL,0.325,FAIL,BASE_REACTION_FAIL,0.252,FAIL->FAIL
C0120,target_satellite_v0,0.5,0.02,0.5,2.0,1.2,1,SAFE,SAFE,0.325,SAFE,SAFE,0.252,SAFE->SAFE
C0121,target_satellite_v0,0.5,0.02,0.5,3.0,0.8,0,FAIL,POSE_UNCERTAINTY_FAIL,0.217,FAIL,POSE_UNCERTAINTY_FAIL,0.206,FAIL->FAIL
C0122,target_satellite_v0,0.5,0.02,0.5,3.0,0.8,1,FAIL,POSE_UNCERTAINTY_FAIL,0.217,FAIL,POSE_UNCERTAINTY_FAIL,0.206,FAIL->FAIL
C0123,target_satellite_v0,0.5,0.02,0.5,3.0,1.0,0,FAIL,POSE_UNCERTAINTY_FAIL,0.271,FAIL,POSE_UNCERTAINTY_FAIL,0.231,FAIL->FAIL
C0124,target_satellite_v0,0.5,0.02,0.5,3.0,1.0,1,FAIL,POSE_UNCERTAINTY_FAIL,0.271,FAIL,POSE_UNCERTAINTY_FAIL,0.231,FAIL->FAIL
C0125,target_satellite_v0,0.5,0.02,0.5,3.0,1.2,0,FAIL,POSE_UNCERTAINTY_FAIL,0.325,FAIL,POSE_UNCERTAINTY_FAIL,0.252,FAIL->FAIL
C0126,target_satellite_v0,0.5,0.02,0.5,3.0,1.2,1,FAIL,POSE_UNCERTAINTY_FAIL,0.325,FAIL,POSE_UNCERTAINTY_FAIL,0.252,FAIL->FAIL
C0127,target_satellite_v0,0.5,0.02,1.0,1.0,0.8,0,FAIL,BASE_REACTION_FAIL,0.217,FAIL,BASE_REACTION_FAIL,0.206,FAIL->FAIL
C0128,target_satellite_v0,0.5,0.02,1.0,1.0,0.8,1,SAFE,SAFE,0.217,SAFE,SAFE,0.206,SAFE->SAFE
C0129,target_satellite_v0,0.5,0.02,1.0,1.0,1.0,0,FAIL,BASE_REACTION_FAIL,0.271,FAIL,BASE_REACTION_FAIL,0.231,FAIL->FAIL
C0130,target_satellite_v0,0.5,0.02,1.0,1.0,1.0,1,SAFE,SAFE,0.271,SAFE,SAFE,0.231,SAFE->SAFE
C0131,target_satellite_v0,0.5,0.02,1.0,1.0,1.2,0,FAIL,BASE_REACTION_FAIL,0.325,FAIL,BASE_REACTION_FAIL,0.252,FAIL->FAIL
C0132,target_satellite_v0,0.5,0.02,1.0,1.0,1.2,1,SAFE,SAFE,0.325,SAFE,SAFE,0.252,SAFE->SAFE
C0133,target_satellite_v0,0.5,0.02,1.0,2.0,0.8,0,FAIL,BASE_REACTION_FAIL,0.217,FAIL,BASE_REACTION_FAIL,0.206,FAIL->FAIL
C0134,target_satellite_v0,0.5,0.02,1.0,2.0,0.8,1,SAFE,SAFE,0.217,SAFE,SAFE,0.206,SAFE->SAFE
C0135,target_satellite_v0,0.5,0.02,1.0,2.0,1.0,0,FAIL,BASE_REACTION_FAIL,0.271,FAIL,BASE_REACTION_FAIL,0.231,FAIL->FAIL
C0136,target_satellite_v0,0.5,0.02,1.0,2.0,1.0,1,SAFE,SAFE,0.271,SAFE,SAFE,0.231,SAFE->SAFE
C0137,target_satellite_v0,0.5,0.02,1.0,2.0,1.2,0,FAIL,BASE_REACTION_FAIL,0.325,FAIL,BASE_REACTION_FAIL,0.252,FAIL->FAIL
C0138,target_satellite_v0,0.5,0.02,1.0,2.0,1.2,1,SAFE,SAFE,0.325,SAFE,SAFE,0.252,SAFE->SAFE
C0139,target_satellite_v0,0.5,0.02,1.0,3.0,0.8,0,FAIL,POSE_UNCERTAINTY_FAIL,0.217,FAIL,POSE_UNCERTAINTY_FAIL,0.206,FAIL->FAIL
C0140,target_satellite_v0,0.5,0.02,1.0,3.0,0.8,1,FAIL,POSE_UNCERTAINTY_FAIL,0.217,FAIL,POSE_UNCERTAINTY_FAIL,0.206,FAIL->FAIL
C0141,target_satellite_v0,0.5,0.02,1.0,3.0,1.0,0,FAIL,POSE_UNCERTAINTY_FAIL,0.271,FAIL,POSE_UNCERTAINTY_FAIL,0.231,FAIL->FAIL
C0142,target_satellite_v0,0.5,0.02,1.0,3.0,1.0,1,FAIL,POSE_UNCERTAINTY_FAIL,0.271,FAIL,POSE_UNCERTAINTY_FAIL,0.231,FAIL->FAIL
C0143,target_satellite_v0,0.5,0.02,1.0,3.0,1.2,0,FAIL,POSE_UNCERTAINTY_FAIL,0.325,FAIL,POSE_UNCERTAINTY_FAIL,0.252,FAIL->FAIL
C0144,target_satellite_v0,0.5,0.02,1.0,3.0,1.2,1,FAIL,POSE_UNCERTAINTY_FAIL,0.325,FAIL,POSE_UNCERTAINTY_FAIL,0.252,FAIL->FAIL
C0145,target_satellite_v0,0.5,0.02,1.5,1.0,0.8,0,FAIL,BASE_REACTION_FAIL,0.217,FAIL,BASE_REACTION_FAIL,0.206,FAIL->FAIL
C0146,target_satellite_v0,0.5,0.02,1.5,1.0,0.8,1,SAFE,SAFE,0.217,SAFE,SAFE,0.206,SAFE->SAFE
C0147,target_satellite_v0,0.5,0.02,1.5,1.0,1.0,0,FAIL,BASE_REACTION_FAIL,0.271,FAIL,BASE_REACTION_FAIL,0.231,FAIL->FAIL
C0148,target_satellite_v0,0.5,0.02,1.5,1.0,1.0,1,SAFE,SAFE,0.271,SAFE,SAFE,0.231,SAFE->SAFE
C0149,target_satellite_v0,0.5,0.02,1.5,1.0,1.2,0,FAIL,BASE_REACTION_FAIL,0.325,FAIL,BASE_REACTION_FAIL,0.252,FAIL->FAIL
C0150,target_satellite_v0,0.5,0.02,1.5,1.0,1.2,1,SAFE,SAFE,0.325,SAFE,SAFE,0.252,SAFE->SAFE
C0151,target_satellite_v0,0.5,0.02,1.5,2.0,0.8,0,FAIL,BASE_REACTION_FAIL,0.217,FAIL,BASE_REACTION_FAIL,0.206,FAIL->FAIL
C0152,target_satellite_v0,0.5,0.02,1.5,2.0,0.8,1,SAFE,SAFE,0.217,SAFE,SAFE,0.206,SAFE->SAFE
C0153,target_satellite_v0,0.5,0.02,1.5,2.0,1.0,0,FAIL,BASE_REACTION_FAIL,0.271,FAIL,BASE_REACTION_FAIL,0.231,FAIL->FAIL
C0154,target_satellite_v0,0.5,0.02,1.5,2.0,1.0,1,SAFE,SAFE,0.271,SAFE,SAFE,0.231,SAFE->SAFE
