id,responsibility_owner,source_parent_assembly,representation_role,physical_mass_applicable,mass_accounting_basis,candidate_material_mass_kg,legacy_planning_budget_kg,as_built_mass_kg,volume_mm3,density_kg_mm3,volume_source,density_source,note
R01_D_lower_-1_50_washer_nut,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_D_lower_-1_50_nut,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_D_lower_-1_140_screw,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_D_lower_-1_140_washer_head,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_D_lower_-1_140_washer_nut,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_D_lower_-1_140_nut,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_W_lower_-1_60_screw,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_W_lower_-1_60_washer_head,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_W_lower_-1_60_washer_nut,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_W_lower_-1_60_nut,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_W_lower_-1_130_screw,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_W_lower_-1_130_washer_head,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_W_lower_-1_130_washer_nut,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_W_lower_-1_130_nut,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_D_lower_1_-150_screw,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_D_lower_1_-150_washer_head,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_D_lower_1_-150_washer_nut,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_D_lower_1_-150_nut,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_D_lower_1_-50_screw,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_D_lower_1_-50_washer_head,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_D_lower_1_-50_washer_nut,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_D_lower_1_-50_nut,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_W_lower_1_-130_screw,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_W_lower_1_-130_washer_head,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_W_lower_1_-130_washer_nut,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_W_lower_1_-130_nut,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_W_lower_1_-70_screw,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_W_lower_1_-70_washer_head,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_W_lower_1_-70_washer_nut,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_W_lower_1_-70_nut,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_D_lower_1_50_screw,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_D_lower_1_50_washer_head,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_D_lower_1_50_washer_nut,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_D_lower_1_50_nut,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_D_lower_1_140_screw,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_D_lower_1_140_washer_head,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_D_lower_1_140_washer_nut,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_D_lower_1_140_nut,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_W_lower_1_60_screw,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_W_lower_1_60_washer_head,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_W_lower_1_60_washer_nut,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_W_lower_1_60_nut,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_W_lower_1_130_screw,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_W_lower_1_130_washer_head,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_W_lower_1_130_washer_nut,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_W_lower_1_130_nut,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_D_upper_-1_-150_screw,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_D_upper_-1_-150_washer_head,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_D_upper_-1_-150_washer_nut,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_D_upper_-1_-150_nut,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
R01_D_upper_-1_-50_screw,R01_EQUIPMENT_FASTENER_KIT,R01_FASTENERS,SIMPLIFIED_PROXY,True,UNRESOLVED_PHYSICAL_MASS,,,,,,,,
